no,review_id,teks_ulasan,label_anotator_1,label_anotator_2
1,28eb6d47-0a00-4c25-81b6-7f86010ef465,gagal teruss pengajuan,negatif,negatif
2,666cbcdd-68f6-4f43-a407-41ffbc0243a0,saya udah hapus data kalau ada yang aneh aneh saya tidak meminjam 07 april 2025,netral,netral
3,88138d87-ca93-4a06-bdad-c90d7c913bcb,"sangat menganggu skali iklan dimana2, tidak berniat pinjam tapi diteror terus",negatif,negatif
4,c6634ba4-4d2d-41b4-8108-e3e8507d1229,"pada tanggal 26 Juli 2025 saya uninstall Adakami, tolong jangan salah gunakan data data pribadi saya, jika ada tagihan dari pihak Adakami saya TIDAK AKAN MEMBAYAR.",netral,netral
5,8fba7100-5fe5-44e5-8166-7f2059824c09,mantap sekali,positif,positif
6,223daaee-282f-4d88-b866-defad15af6dd,Menyenangkan terimakasih,positif,positif
7,647fc102-651e-494d-ad72-5f1dfdb72b4e,"Kenapa tidak bisa di cairkan lagi pdahal sudah melunasi semua dan TDK pernah terlambat,.",negatif,negatif
8,b364c5c7-f29b-450c-b3e3-4ee937df78e5,. ya 🙂‍↕️ bc byyky di 😃,netral,netral
9,e27d61db-079e-41c9-bab3-90db1cee6a79,ok k,positif,positif
10,76e4e38b-4ce8-47c9-91d9-59b56dba66eb,"Pinjaman selalu di tolak, dan penghapusan data tidak bisa , tgl 10-1-2025 aplikasi saya uninstal, jgn sampai data2 saya di salah gunakan.terima kasih.",negatif,negatif
11,edc78add-0ae9-4576-940e-bb54b1188cdf,"terlambat sehari saja langsung black list ke semua apk pinjol,, hati2 ja buat teman2 yg lain",negatif,negatif
12,deeaf510-f3b2-4cd5-a442-63589ef585a6,Aplikasi yg berguna,positif,positif
13,84ed73d4-afce-49a6-8f4d-17f976da5f59,mantap,positif,positif
14,0ce1c82a-2822-469e-aab5-f2a2e1fcc209,"maaf sangat sulit mendaftar disini, foto ktp no hp saya. dibuat tak bisa di hapus saya tidak jadi pinjam jika itu mengatasnamakan saya. itu bukan saya. rumit banyak sekali rintangan sulit saya batal minjam. tapi akun saya ga bisa di hapus",negatif,negatif
15,6c65a9ef-d714-4671-ae21-93448eda82d5,aplikasi nya sangat membantu,positif,positif
16,27b3bc1b-95d7-474f-8b13-a9065740f17b,easycash adalah platform pinjaman tunai yang sangat ter elisensi,negatif,positif
17,8ab605ca-9bd7-48b4-8671-3dfe31bf9aa9,"Knpa pengajuan saya ditolak, tolong direspon",negatif,negatif
18,7795a7ce-c860-4a3f-a9d2-2e719f7f3e89,sangat cucuk buat aku,positif,positif
19,98f5c6f0-dfc4-459e-a238-4fa263833c73,sebenarnya ada kamu bagus cuma banyak skali nmr yg tidak dikenal menelfon terus menerus dan jga sampe mengancam,negatif,negatif
20,b9b75eae-401f-401f-9c03-0cbd70b71fbd,"syang nya.gwblm di acc.kan data""gw bagus gw blm pernah pijol.ini baru yg pertama kalinya.maka nya gw kasi bintang",negatif,netral
21,ba7a6d19-cbec-4df5-8b09-17e44ea22112,"aplikasi nya bgus min...respon cepat,,tpi pliss bunga nya jgn gede bgt dong...masa angsuran nya pun sampe 6 bulan..perbaiki lagi min..biar yg lain juga betah minjam",negatif,positif
