no,review_id,rating,teks_ulasan
1,28eb6d47-0a00-4c25-81b6-7f86010ef465,3,gagal teruss pengajuan
2,666cbcdd-68f6-4f43-a407-41ffbc0243a0,1,saya udah hapus data kalau ada yang aneh aneh saya tidak meminjam 07 april 2025
3,88138d87-ca93-4a06-bdad-c90d7c913bcb,1,"sangat menganggu skali iklan dimana2, tidak berniat pinjam tapi diteror terus"
4,c6634ba4-4d2d-41b4-8108-e3e8507d1229,4,"pada tanggal 26 Juli 2025 saya uninstall Adakami, tolong jangan salah gunakan data data pribadi saya, jika ada tagihan dari pihak Adakami saya TIDAK AKAN MEMBAYAR."
5,8fba7100-5fe5-44e5-8166-7f2059824c09,4,mantap sekali
6,223daaee-282f-4d88-b866-defad15af6dd,3,Menyenangkan terimakasih
7,647fc102-651e-494d-ad72-5f1dfdb72b4e,2,"Kenapa tidak bisa di cairkan lagi pdahal sudah melunasi semua dan TDK pernah terlambat,."
8,b364c5c7-f29b-450c-b3e3-4ee937df78e5,5,. ya 🙂‍↕️ bc byyky di 😃
9,e27d61db-079e-41c9-bab3-90db1cee6a79,5,ok k
10,76e4e38b-4ce8-47c9-91d9-59b56dba66eb,2,"Pinjaman selalu di tolak, dan penghapusan data tidak bisa , tgl 10-1-2025 aplikasi saya uninstal, jgn sampai data2 saya di salah gunakan.terima kasih."
11,edc78add-0ae9-4576-940e-bb54b1188cdf,2,"terlambat sehari saja langsung black list ke semua apk pinjol,, hati2 ja buat teman2 yg lain"
12,deeaf510-f3b2-4cd5-a442-63589ef585a6,5,Aplikasi yg berguna
13,84ed73d4-afce-49a6-8f4d-17f976da5f59,5,mantap
14,0ce1c82a-2822-469e-aab5-f2a2e1fcc209,2,"maaf sangat sulit mendaftar disini, foto ktp no hp saya. dibuat tak bisa di hapus saya tidak jadi pinjam jika itu mengatasnamakan saya. itu bukan saya. rumit banyak sekali rintangan sulit saya batal minjam. tapi akun saya ga bisa di hapus"
15,6c65a9ef-d714-4671-ae21-93448eda82d5,5,aplikasi nya sangat membantu
16,27b3bc1b-95d7-474f-8b13-a9065740f17b,5,easycash adalah platform pinjaman tunai yang sangat ter elisensi
17,8ab605ca-9bd7-48b4-8671-3dfe31bf9aa9,2,"Knpa pengajuan saya ditolak, tolong direspon"
18,7795a7ce-c860-4a3f-a9d2-2e719f7f3e89,4,sangat cucuk buat aku
19,98f5c6f0-dfc4-459e-a238-4fa263833c73,3,sebenarnya ada kamu bagus cuma banyak skali nmr yg tidak dikenal menelfon terus menerus dan jga sampe mengancam
20,b9b75eae-401f-401f-9c03-0cbd70b71fbd,2,"syang nya.gwblm di acc.kan data""gw bagus gw blm pernah pijol.ini baru yg pertama kalinya.maka nya gw kasi bintang"
21,ba7a6d19-cbec-4df5-8b09-17e44ea22112,4,"aplikasi nya bgus min...respon cepat,,tpi pliss bunga nya jgn gede bgt dong...masa angsuran nya pun sampe 6 bulan..perbaiki lagi min..biar yg lain juga betah minjam"
22,4251b43b-2acb-4ae6-9a27-582b8b140c5f,1,sangat menganggu kenyamanan
23,466e52e9-da3c-4b0e-aaca-57f866eedb80,4,"keren..., walaupun untuk pengajuan ke 2 blm acc"
24,a45eeedb-3e0f-4340-923d-944952506459,3,oke
